ÜRÜN NO;DIÞ ÇAP;YÜKSEKLÝK
946;71,4690;5,8460
947;71,5320;5,8350
948;71,4750;5,8410
949;71,4460;5,8390
950;71,4630;5,8640
951;70,1570;5,8620
952;71,6030;5,8430
953;71,5620;5,8420
954;71,5110;5,8420
955;71,4880;5,8530
956;71,5320;5,8260
957;71,4750;5,8250
958;71,4900;5,8370
959;71,5070;5,8190
960;71,4320;5,8690
961;71,3930;5,8630
962;71,5050;5,8350
963;71,5300;5,8380
964;71,4670;5,8300
965;71,3430;5,8090
966;71,4500;5,8580
967;71,5070;5,8390
968;71,4630;5,8650
969;71,4640;5,9190
970;71,4710;5,8310
971;71,3920;5,8860
972;71,5600;5,8700
973;71,4280;5,8480
974;71,3350;5,8490
975;71,3890;5,8380
976;71,5230;5,8650
977;71,5080;5,8870
978;71,4760;5,8500
979;71,4680;5,8500
980;71,4770;5,8770
981;71,4570;5,8360
982;71,4310;5,8540
983;71,2760;5,8770
984;71,3450;5,8640
985;71,4820;5,8170
986;71,5050;5,8340
987;71,3970;5,8990
988;71,4920;5,9240
989;71,4350;5,8180
990;71,5710;5,8250
991;71,4120;5,8170
992;71,2460;5,8550
993;71,4910;5,8550
994;71,4530;5,9020
995;71,4660;5,8300
996;71,4600;5,8220
997;71,4950;5,8440
998;71,3940;5,8370
999;71,4470;5,8400
1000;71,5150;5,9310
1001;71,5270;5,8240
1002;71,4390;5,8340
1003;71,5100;5,8730
1004;71,4920;5,8660
1005;71,5220;5,8970
1006;71,4820;5,8470
1007;71,3740;5,8170
1008;71,4900;5,8540
1009;71,4410;5,8400
1010;71,4440;5,8190
1011;71,3780;5,8800
1012;71,4900;5,8360
1013;71,5090;5,7910
1014;71,5200;5,7840
1015;71,4010;5,8670
1016;71,4460;5,8460
1017;71,4980;5,8150
1018;71,4570;5,8130
1019;71,5770;5,8720
1020;71,5460;5,8600
1021;71,4930;5,7950
1022;71,4380;5,8260
1023;71,4130;5,8510
1024;71,5190;5,8810
1025;71,5000;5,8200
1026;71,4330;5,8600
1027;71,4590;5,7870
1028;71,5510;5,8540
1029;71,5000;5,8200
1030;71,4190;5,8530
1031;71,4450;5,8760
1032;71,3600;5,8180
1033;71,5140;5,8250
1034;71,5380;5,8300
1035;71,5380;5,8420
1036;71,4790;5,9120
1037;71,4350;5,8820
1038;71,3920;5,8270
1039;71,4670;5,9020
1040;71,3920;5,8340
1041;71,4530;5,8220
1042;71,5130;5,8540
1043;71,5250;5,8460
1044;71,4500;5,8730
1045;71,4440;5,8690
1046;71,3950;5,8210
1047;71,5080;5,8510
1048;71,4160;5,8540
1049;71,3620;5,8420
1050;71,5180;5,8390
1051;71,5280;5,8420
1052;71,4460;5,8330
1053;71,4340;5,8280
1054;71,4560;5,8630
1055;71,4800;5,8420
